name,status,family1,family2,family3
Kaan,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Landoma,vulnerable,Atlantic-Congo,Mel,Northern Mel
Loo,definitely endangered,Atlantic-Congo,Volta-Congo,North Volta-Congo
Tso,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Lufu,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Lega-Shabunda,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lala-Bisa,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Leco,extinct,Unknown,-,-
Lendu,safe,Central Sudanic,Lenduic,-
Lyélé,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Lelemi,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Lengua,definitely endangered,Lengua-Mascoy,Lengua-Sanapana-Angaite,-
Lenje,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lemio,safe,Nuclear Trans New Guinea,Madang,Rai Coast
Lengola,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Leipon,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lele (Democratic Republic of Congo),safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Nomaande,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Leti (Cameroon),extinct,Atlantic-Congo,Volta-Congo,Benue-Congo
Lepcha,severely endangered,Sino-Tibetan,Himalayish,-
Lembena,safe,Nuclear Trans New Guinea,Enga-Kewa-Huli,Engan
Lenkau,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lese,safe,Central Sudanic,Membi-Mangbutu-Efe,Mangbutu-Efe
Lesing-Gelimi,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Kara (Papua New Guinea),safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Western Pantar,vulnerable,Timor-Alor-Pantar,Alor-Pantar,-
Ledo Kaili,safe,Austronesian,Malayo-Polynesian,Celebic
Luang,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lemolang,definitely endangered,Austronesian,Malayo-Polynesian,South Sulawesi
Lezgian,vulnerable,Nakh-Daghestanian,Daghestanian,Lezgic
Lefa,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lungga,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Laghu,extinct,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lugbara,safe,Central Sudanic,Moru-Madi,Central Moru-Madi
Laghuu,definitely endangered,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Lengilu,critically endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Neverver,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Wala,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lega-Mwenga,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
T'apo,definitely endangered,Koman,Opuuo-Twampa-Komo,-
Logba,definitely endangered,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Lengo,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Pahi,definitely endangered,Sepik,Sepik Tama,Mehek-Pahi
Longgu,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ligenza,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Laha (Viet Nam),severely endangered,Tai-Kadai,Kadaic,Southwestern Kra
Laha (Indonesia),definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lahu Shi,safe,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Lahul Lohar,safe,Indo-European,Indo-Iranian,Indo-Aryan
Lhomi,vulnerable,Sino-Tibetan,Bodic,Bodish
Lahanan,vulnerable,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Lhokpu,definitely endangered,Sino-Tibetan,Himalayish,-
Mlahsö,extinct,Afro-Asiatic,Semitic,West Semitic
Lo-Toga,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lahu,safe,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
West-Central Limba,safe,Atlantic-Congo,Limba,-
Likum,severely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Hlai,safe,Tai-Kadai,Hlaic,Nuclear Hlaic
Nyindrou,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Balobo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Limbu,definitely endangered,Sino-Tibetan,Himalayish,Mahakiranti
Ligbi,definitely endangered,Mande,Western Mande,Manding-Kpelle
Lihir,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ligurian,definitely endangered,Indo-European,Italic,Latino-Faliscan
Liko,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lillooet,critically endangered,Salishan,Interior Salish,Northern Interior Salish
Limburgan,vulnerable,Indo-European,Germanic,Northwest Germanic
Lingala,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Liki,severely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Sekpele,vulnerable,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Libido,safe,Afro-Asiatic,Cushitic,East Cushitic
Kru Pidgin English,safe,Pidgin,English based pidgin,-
Lisu,safe,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Lithuanian,safe,Indo-European,Balto-Slavic,Eastern Baltic
Logorik,definitely endangered,Dajuic,Eastern Dajuic,-
Liv,extinct,Uralic,Finnic,Coastal Finnic
Col,safe,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Liabuku,severely endangered,Austronesian,Malayo-Polynesian,Celebic
Banda-Bambari,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Libinza,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Rampi,vulnerable,Austronesian,Malayo-Polynesian,Celebic
Laiyolo,definitely endangered,Austronesian,Malayo-Polynesian,Celebic
Li'o,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lampung Api,vulnerable,Austronesian,Malayo-Polynesian,Lampungic
Yirandhali,critically endangered,Pama-Nyungan,Greater Maric,Guwa-Maric
Lakalei,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Kabras,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Kucong,vulnerable,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Lakondê,vulnerable,Nambiquaran,Nambikwara Complex,Northern Nambiquaran
Kenyi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lakha,definitely endangered,Sino-Tibetan,Bodic,Bodish
Laki,safe,Indo-European,Indo-Iranian,Iranian
Remun,vulnerable,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Laeko-Libuat,definitely endangered,Nuclear Torricelli,-,-
Lakon,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Khayo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Päri,safe,Nilotic,Western Nilotic,Luo-Burun
Kisa,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lakota,definitely endangered,Siouan,Core Siouan,Mississippi Valley
Kuungkari of Barcoo River,extinct,Pama-Nyungan,Karnic,Pirriya-Kungkari
Lokoya,vulnerable,Nilotic,Eastern Nilotic,Teso-Lotuxo-Maa
Lala-Roba,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Lolo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lele (Guinea),safe,Mande,Western Mande,Manding-Kpelle
Ladin,definitely endangered,Indo-European,Italic,Latino-Faliscan
Lele (Papua New Guinea),safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Hermit,critically endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lole,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lamu,definitely endangered,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Teke-Laali,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Lelak,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Lilau,definitely endangered,Bogia,-,-
Lasalimu,vulnerable,Austronesian,Malayo-Polynesian,Celebic
Lele (Chad),safe,Afro-Asiatic,Chadic,East Chadic
North Efate,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lolak,severely endangered,Austronesian,Malayo-Polynesian,Greater Central Philippine
Lithuanian Sign Language,safe,Sign Language,Deaf Sign Language,Russian Sign
Lau,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lauan,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
East Limba,safe,Atlantic-Congo,Limba,-
Merei,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Limilngan,critically endangered,Limilngan-Wulna,-,-
Lumun,vulnerable,Narrow Talodi,Lumun-Torona,-
Peve,safe,Afro-Asiatic,Chadic,Masa
Eastern Atadei,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lamogai,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lombi,safe,Central Sudanic,Mangbetu-Asua,-
West Lembata,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lamkang,definitely endangered,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin
Hano,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lambadi,safe,Indo-European,Indo-Iranian,Indo-Aryan
Lombard,definitely endangered,Indo-European,Italic,Latino-Faliscan
Limbum,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lamatuka,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Peripherial Lembata,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lamenu,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lomaiviti,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lake Miwok,extinct,Miwok-Costanoan,Miwokan,Western Miwokan
Laimbue,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lamboya,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lumbee,extinct,Unattested,-,-
Langbashe,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Mbalanhu,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Lundayeh,safe,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Lanoh,definitely endangered,Austroasiatic,Aslian,Central-Northern Aslian
Daantanai',safe,South Bougainville,Nasioi,-
Linngithigh,extinct,Pama-Nyungan,Paman,Northern Pama
South Central Banda,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Pondi,definitely endangered,Ulmapo,-,-
Nethalp,severely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lango (Sudan),safe,Nilotic,Eastern Nilotic,Teso-Lotuxo-Maa
Lamnso',safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Longuda,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Lonzo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Loloda-Laba,safe,North Halmahera,Northern North Halmahera,Mainland North Halmaheran
Lobi,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Inonhan,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Saluan,vulnerable,Austronesian,Malayo-Polynesian,Celebic
Logol,definitely endangered,Heibanic,West-Central Heibanic,Central Heibanic
Logo,safe,Central Sudanic,Moru-Madi,Central Moru-Madi
Narim,definitely endangered,Surmic,South Surmic,Southwest Surmic
Loma (Côte d'Ivoire),safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Lou,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Loko,safe,Mande,Western Mande,Manding-Kpelle
Mongo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Loma (Liberia),safe,Mande,Western Mande,Manding-Kpelle
Malawi Lomwe,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lombo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lopa,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lobala,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Téén,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Loniu,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Otuho,safe,Nilotic,Eastern Nilotic,Teso-Lotuxo-Maa
Louisiana Creole French,severely endangered,Indo-European,Italic,Latino-Faliscan
Tampias Lobu,vulnerable,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Loun,extinct,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lowa,definitely endangered,Sino-Tibetan,Bodic,Bodish
Lozi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lelepa,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lepki,definitely endangered,Lepki-Murkim,-,-
Lipo,vulnerable,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Lopit,safe,Nilotic,Eastern Nilotic,Teso-Lotuxo-Maa
Rara Bakati',safe,Austronesian,Malayo-Polynesian,Land Dayak
Northern Luri,safe,Indo-European,Indo-Iranian,Iranian
Laragia,critically endangered,Unknown,-,-
Marachi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lari,vulnerable,Indo-European,Indo-Iranian,Iranian
Marama,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lorang,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Laru (North Sudan),vulnerable,Heibanic,West-Central Heibanic,Central Heibanic
Southern Yamphu,definitely endangered,Sino-Tibetan,Himalayish,Mahakiranti
Larantuka Malay,vulnerable,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Larevat,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lemerig,critically endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lasgerdi,definitely endangered,Indo-European,Indo-Iranian,Iranian
Lishana Deni,definitely endangered,Afro-Asiatic,Semitic,West Semitic
Lusengo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lyons Sign Language,safe,Sign Language,Deaf Sign Language,-
Lish,definitely endangered,Sino-Tibetan,Kho-Bwa,Kamengic
Lashi,safe,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Latvian Sign Language,safe,Sign Language,Deaf Sign Language,LSFic
Saamia,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Srenge,definitely endangered,Nuclear Torricelli,Nuclear Palai,Bragat-Aruop-Amol
Lasi,safe,Indo-European,Indo-Iranian,Indo-Aryan
Leti (Indonesia),definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Latundê,vulnerable,Nambiquaran,Nambikwara Complex,Northern Nambiquaran
Tsotso,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Latu,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Luxembourgish,vulnerable,Indo-European,Germanic,Northwest Germanic
Luba-Lulua,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Luba-Katanga,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Aringa,safe,Central Sudanic,Moru-Madi,Central Moru-Madi
Ludian,critically endangered,Uralic,Finnic,Coastal Finnic
Luvale,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Laua,critically endangered,Mailuan,-,-
Ganda,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Luiseno,extinct,Uto-Aztecan,Northern Uto-Aztecan,Californian Uto-Aztecan
Luna,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lunanakha,safe,Sino-Tibetan,Bodic,Bodish
Olu'bo,safe,Central Sudanic,Moru-Madi,Southern Moru-Madi
Luimbi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lunda,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Luo (Kenya and Tanzania),safe,Nilotic,Western Nilotic,Luo-Burun
Lumbu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lucumi,extinct,Atlantic-Congo,Volta-Congo,Benue-Congo
Laura,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Mizo,vulnerable,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin
Northern Lushootseed,critically endangered,Salishan,Central Salish,Lushootseed-Puget
Luwati,vulnerable,Indo-European,Indo-Iranian,Indo-Aryan
Luo (Cameroon),critically endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Southern Luri,safe,Indo-European,Indo-Iranian,Iranian
Maku'a,critically endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lavukaleve,definitely endangered,Unknown,-,-
Standard Latvian,safe,Indo-European,Balto-Slavic,Eastern Baltic
Central Lembata-Lewokukun,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lwalu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Lewo Eleng,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Wanga,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
White Lachi,extinct,Tai-Kadai,Kadaic,Southwestern Kra
Eastern Lawa,extinct,Austroasiatic,Khasi-Palaung,Palaungic
Laomian,definitely endangered,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Luwo,safe,Nilotic,Western Nilotic,Luo-Burun
Lewotobi,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Lawu,critically endangered,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Lewo,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Layakha,safe,Sino-Tibetan,Bodic,Bodish
Lyngngam,safe,Austroasiatic,Khasi-Palaung,Khasian
Luyi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Naman,critically endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Laz,vulnerable,Kartvelian,Georgian-Zan,Zan
San Jerónimo Tecóatl Mazatec,vulnerable,Otomanguean,Eastern Otomanguean,Popoloca-Zapotecan
Yutanduchi Mixtec,vulnerable,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan
Madurese,safe,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Bo-Rukul,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Mafa,safe,Afro-Asiatic,Chadic,Biu-Mandara
Magahi,safe,Indo-European,Indo-Iranian,Indo-Aryan
Marshallese,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Maithili,safe,Indo-European,Indo-Iranian,Indo-Aryan
Jalapa De Díaz Mazatec,vulnerable,Otomanguean,Eastern Otomanguean,Popoloca-Zapotecan
Makasar,vulnerable,Austronesian,Malayo-Polynesian,South Sulawesi
Malayalam,safe,Dravidian,South Dravidian,South Dravidian I
Mam,vulnerable,Mayan,Core Mayan,Quichean-Mamean
Chiquihuitlán Mazatec,definitely endangered,Otomanguean,Eastern Otomanguean,Popoloca-Zapotecan
Marathi,safe,Indo-European,Indo-Iranian,Indo-Aryan
Masai,extinct,Nilotic,Eastern Nilotic,Teso-Lotuxo-Maa
San Francisco Matlatzinca,definitely endangered,Otomanguean,Western Otomanguean,Otopame-Chinantecan
Huautla Mazatec,vulnerable,Otomanguean,Eastern Otomanguean,Popoloca-Zapotecan
Sateré-Mawé,definitely endangered,Tupian,Maweti-Guarani,-
Mampruli,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
North Moluccan Malay,safe,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Central Mazahua,definitely endangered,Otomanguean,Western Otomanguean,Otopame-Chinantecan
Higaonon,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Western Bukidnon Manobo,vulnerable,Austronesian,Malayo-Polynesian,Greater Central Philippine
Macushi,definitely endangered,Cariban,Venezuelan Cariban,Pemong-Panare
Dibabawon Manobo,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Molale,extinct,Unknown,-,-
Baba Malay,critically endangered,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Mangseng,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ilianen Manobo,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Nadëb,definitely endangered,Nadahup,-,-
Malol,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Maxakalí,definitely endangered,Nuclear-Macro-Je,Maxakalian,Western Maxakali
Ombamba,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Macaguán,definitely endangered,Guahiboan,-,-
Mbo (Cameroon),vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Malayo,definitely endangered,Chibchan,Core Chibchan,Magdalenic
Maisin,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Nukak Makú,definitely endangered,Kakua-Nukak,-,-
Sarangani Manobo,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Matigsalug Manobo,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Mbula-Bwazza,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Mbulungish,definitely endangered,Atlantic-Congo,North-Central Atlantic,North Atlantic
Maring,vulnerable,Nuclear Trans New Guinea,Chimbu-Wahgi,Jimi
Mari (East Sepik Province),definitely endangered,Sepik,Sepik Hill,Central Sepik Hill
Memoni,definitely endangered,Indo-European,Indo-Iranian,Indo-Aryan
Amoltepec Mixtec,vulnerable,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan
Maca,definitely endangered,Matacoan,Mataguayo I,-
Machiguenga,definitely endangered,Arawakan,Southern Maipuran,Pre-Andine Maipuran
Bitur,safe,Anim,Tirio,Nuclear Tirio
Sharanahua,severely endangered,Pano-Tacanan,Panoan,Mainline Pano
Itundujia Mixtec,vulnerable,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan
Matsés,definitely endangered,Pano-Tacanan,Panoan,Mayoruna Branch
Mapoyo,critically endangered,Cariban,Venezuelan Cariban,Mapoyo-Tamanaku
Maquiritari,definitely endangered,Cariban,Guianan,Maquiritari-Wayumara
Mese,safe,Nuclear Trans New Guinea,Finisterre-Huon,Huon
Mvano,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Mbunda,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Macaguaje,extinct,Tucanoan,Western Tucanoan,Maijiki-Siona
Malacca-Batavia Portuguese Creole,definitely endangered,Indo-European,Italic,Latino-Faliscan
Masana,safe,Afro-Asiatic,Chadic,Masa
Coatlán Mixe,vulnerable,Mixe-Zoque,Mixe,Oaxaca Mixe
Makaa,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Ese,safe,Koiarian,Baraic,-
Menya,safe,Angan,Nuclear Angan,Kapau-Menya
Mambai,vulnerable,Atlantic-Congo,Volta-Congo,North Volta-Congo
Donga Mambila,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Minanibai-Foia Foia,vulnerable,Anim,Inland Gulf of Papua,West Inland Gulf of Papua
Mawa (Chad),definitely endangered,Afro-Asiatic,Chadic,East Chadic
Mpiemo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
South Watut,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Mawan,definitely endangered,Nuclear Trans New Guinea,Madang,Croisilles
Mada (Nigeria),safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Morigi,safe,Kiwaian,Turama-Kerewo,-
Male (Papua New Guinea),safe,Nuclear Trans New Guinea,Madang,Rai Coast
Mbum,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Maba (Chad),safe,Maban,Mabang,Maba-Masalit
Moksha,safe,Uralic,Mordvin,-
Massalat,severely endangered,Maban,Mabang,Maba-Masalit
Maguindanao,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Mamvu,safe,Central Sudanic,Membi-Mangbutu-Efe,Mangbutu-Efe
Mangbetu,safe,Central Sudanic,Mangbetu-Asua,Mangbetuic
Mangbutu,safe,Central Sudanic,Membi-Mangbutu-Efe,Mangbutu-Efe
Maltese Sign Language,safe,Sign Language,Deaf Sign Language,-
Mayogo,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Mbati,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Mbala,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Mbole,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Mandar,safe,Austronesian,Malayo-Polynesian,South Sulawesi
Maria (Papua New Guinea),safe,Manubaran,-,-
Mbere,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Mboko,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Santa Lucía Monteverde Mixtec,vulnerable,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan
Mbosi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Dizin,safe,Dizoid,-,-
Male (Ethiopia),vulnerable,Ta-Ne-Omotic,Ometo,North-West Ometo
Suruí Do Pará,definitely endangered,Tupian,Maweti-Guarani,Aweti-Guarani
Menka,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Ikobi,safe,Turama-Kikori,Turama-Omatian,-
Marra,critically endangered,Mangarrayi-Maran,Maran,-
Melpa,safe,Nuclear Trans New Guinea,Chimbu-Wahgi,Hagen
Mengen,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Megam,safe,Austroasiatic,Khasi-Palaung,Khasian
Mea,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Southwestern Tlaxiaco Mixtec,vulnerable,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan
Midob,safe,Nubian,West-Central Nubian,-
Meyah,safe,East Bird's Head,Meax,-
Mekeo,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Central Melanau,vulnerable,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Mangala,severely endangered,Pama-Nyungan,Desert Nyungic,Marrngu
Mende (Sierra Leone),safe,Mande,Western Mande,Manding-Kpelle
Kedah Malay,safe,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Miriwung,critically endangered,Jarrakan,-,-
Merey,safe,Afro-Asiatic,Chadic,Biu-Mandara
Meru,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Masmaje,safe,Afro-Asiatic,Chadic,East Chadic
Mato,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Motu,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Mann,safe,Mande,Eastern Mande,Southeastern Mande
Maaka,vulnerable,Afro-Asiatic,Chadic,West Chadic
Hassaniyya,critically endangered,Afro-Asiatic,Semitic,West Semitic
Menominee,severely endangered,Algic,Algonquian,-
Kelantan-Pattani Malay,vulnerable,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Bangka,critically endangered,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Mba,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Mendankwe-Nkwen,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Morisyen,safe,Indo-European,Italic,Latino-Faliscan
