name,status,family1,family2,family3
Mombo Dogon,vulnerable,Dogon,West Dogon,-
Dimir,vulnerable,Nuclear Trans New Guinea,Madang,Croisilles
Madhi Madhi,extinct,Pama-Nyungan,Southeastern Pama-Nyungan,Victorian Pama-Nyungan
Dugwor,safe,Afro-Asiatic,Chadic,Biu-Mandara
Upper Kinabatangan,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Domaaki,severely endangered,Indo-European,Indo-Iranian,Indo-Aryan
Dameli,vulnerable,Indo-European,Indo-Iranian,Indo-Aryan
Dama (Cameroon),critically endangered,Atlantic-Congo,Volta-Congo,North Volta-Congo
Kemezung,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
East Damar,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dampelas,vulnerable,Austronesian,Malayo-Polynesian,Celebic
Dubu,definitely endangered,Pauwasi,Western Pauwasi,-
Dumpas,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Dema,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Demta,severely endangered,Sentanic,-,-
Upper Grand Valley Dani,safe,Nuclear Trans New Guinea,Dani,Central Dani
Daonda,definitely endangered,Border,Warisic,Nuclear Warisic
Ndendeule,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Dungan,vulnerable,Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic
Lower Grand Valley Dani,safe,Nuclear Trans New Guinea,Dani,Central Dani
Nuclear Dan,safe,Mande,Eastern Mande,Southeastern Mande
Dengka,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dzùùngoo,safe,Mande,Western Mande,Northwestern Mande
Danaru,safe,Nuclear Trans New Guinea,Madang,Rai Coast
Mid Grand Valley Dani,safe,Nuclear Trans New Guinea,Dani,Central Dani
Danau,definitely endangered,Austroasiatic,Khasi-Palaung,Palaungic
Western Dani,safe,Nuclear Trans New Guinea,Dani,Central Dani
Deni,definitely endangered,Arawan,Madi-Madiha,Madiha
Dom,safe,Nuclear Trans New Guinea,Chimbu-Wahgi,Simbu
Dobu,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Northern Dong,vulnerable,Tai-Kadai,Kam-Tai,Kam-Sui
Doe,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Domu,safe,Mailuan,-,-
Dong,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Dondo,definitely endangered,Austronesian,Malayo-Polynesian,Celebic
Doso,vulnerable,Doso-Turumsa,-,-
Toura (Papua New Guinea),safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dongo,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Lukpa,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Dominican Sign Language,safe,Sign Language,Deaf Sign Language,LSFic
Dori'o,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dogosé,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Dass,definitely endangered,Afro-Asiatic,Chadic,West Chadic
Toka-Leya-Dombe,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Doyayo,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Bussa,definitely endangered,Afro-Asiatic,Cushitic,East Cushitic
Dompo,severely endangered,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Dorze,vulnerable,Ta-Ne-Omotic,Ometo,North-West Ometo
Papar,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Dair,definitely endangered,Nubian,West-Central Nubian,Central Nubian
Minderico,critically endangered,Indo-European,Italic,Latino-Faliscan
Darma,definitely endangered,Sino-Tibetan,Bodic,West Himalayish
Dolpo,definitely endangered,Sino-Tibetan,Bodic,Bodish
Rungus,vulnerable,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
C'lela,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Paakantyi,critically endangered,Pama-Nyungan,Yarli-Baagandji,-
West Damar,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Daro-Matu Melanau,vulnerable,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Dura,extinct,Sino-Tibetan,Himalayish,Mahakiranti
Gedeo,safe,Afro-Asiatic,Cushitic,East Cushitic
Drents,vulnerable,Indo-European,Germanic,Northwest Germanic
Rukai,vulnerable,Austronesian,-,-
Darai,definitely endangered,Indo-European,Indo-Iranian,Indo-Aryan
Lower Sorbian,definitely endangered,Indo-European,Balto-Slavic,Slavic
Dutch Sign Language,vulnerable,Sign Language,Deaf Sign Language,LSFic
Daasanach,vulnerable,Afro-Asiatic,Cushitic,East Cushitic
Disa,safe,Central Sudanic,Sara-Bongo-Bagirmi,SBB Occidental
Danish Sign Language,definitely endangered,Sign Language,Deaf Sign Language,LSFic
Dusner,critically endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Tadaksahak,safe,Songhay,Northwest Songhay,Northern Songhay
Dagur,definitely endangered,Mongolic,-,-
Labuk-Kinabatangan Kadazan,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Ditidaht,critically endangered,Wakashan,Southern Wakashan,Nootkan
Aritinngitigh,extinct,Pama-Nyungan,Paman,Northern Pama
Ana Tinga Dogon,vulnerable,Dogon,North Plateau Dogon,Yanda-Bondum-Tebul
Tengou-Togo Dogon,safe,Dogon,Plains Dogon,Western Plains Dogon
Tomo Kan Dogon,safe,Dogon,Plains Dogon,Western Plains Dogon
Tommo So Dogon,safe,Dogon,Escarpment Dogon,-
Central Dusun,vulnerable,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Lotud,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Toro So Dogon,safe,Dogon,Escarpment Dogon,-
Toro Tegu Dogon,safe,Dogon,Plains Dogon,-
Tebul Ure Dogon,vulnerable,Dogon,North Plateau Dogon,Yanda-Bondum-Tebul
Duala,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Dubli,vulnerable,Indo-European,Indo-Iranian,Indo-Aryan
Duna,safe,Unknown,-,-
Hun-Saare,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Umiray Dumaget Agta,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Dumbea,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Duruma,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Dungra Bhil,safe,Indo-European,Indo-Iranian,Indo-Aryan
Dumun,severely endangered,Nuclear Trans New Guinea,Madang,Rai Coast
Dhuwal,definitely endangered,Pama-Nyungan,Yuulngu,Southern Yolngu
Duduela,safe,Nuclear Trans New Guinea,Madang,Rai Coast
Alabat Island Agta,critically endangered,Austronesian,Malayo-Polynesian,Greater Central Philippine
Dusun Deyah,safe,Austronesian,Malayo-Polynesian,Basap-Greater Barito
Dupaninan Agta,definitely endangered,Austronesian,Malayo-Polynesian,Northern Luzon
Duano,definitely endangered,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Dusun Malang,vulnerable,Austronesian,Malayo-Polynesian,Basap-Greater Barito
Dii,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Dumi,critically endangered,Sino-Tibetan,Himalayish,Mahakiranti
Drung,vulnerable,Sino-Tibetan,Nungish,Gunong
Duvle,safe,Lakes Plain,Tariku,-
Dusun Witu,vulnerable,Austronesian,Malayo-Polynesian,Basap-Greater Barito
Duungooma,safe,Mande,Western Mande,Northwestern Mande
Dicamay Agta,extinct,Austronesian,Malayo-Polynesian,Northern Luzon
Duli-Gewe,extinct,Atlantic-Congo,Volta-Congo,North Volta-Congo
Duau,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Diri,safe,Afro-Asiatic,Chadic,West Chadic
Dawro,safe,Ta-Ne-Omotic,Ometo,North-West Ometo
Dawawa,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dyan,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Dyaberdyaber,extinct,Nyulnyulan,Western Nyulnyulan,Nyulnyulic
Dyugun,critically endangered,Nyulnyulan,Eastern Nyulnyulan,Yawuric
